,Habitual,Ketogenic,High Carbohydrate
Total Energy Intake (kcal),2140 ± 555,2447 ± 509,2418 ± 652
Carbohydrate (% total energy),45.8 ± 6.9 ,8.7 ± 2.9,63.3 ± 8.8
Fat (% total energy),38.2 ± 7.8,64.1 ± 5.4,20.8 ± 7.6
Protein (% total energy),16.5 ± 4.2,26.0 ± 2.9,14.4 ± 3.2
Body Mass (kg) ,68.7 ± 17.5,66.4 ± 16.8,68.6 ± 17.3
Average Training session RPE (A.U.),-,482 ± 225,579 ± 262
Total Training Volume (km),-,339 ± 165,365 ± 188
Fluid Intake During Time Trial (mL),383 ± 74,352 ± 146,343 ± 100
Fasting beta-hydroxybutyrate (mmol/L),0.27 ± 14,0.99 ± 61,0.10 ± 18
Ambient Temperature (°C),21.8 ± 0.4,21.7 ± 0.5,21.8 ± 0.4
Relative Humidity (%),51.3 ± 6.0,36.8 ± 8.4,36.5 ± 12.2
